title,genres
Hard Target,Thriller
Mr. Deeds,Comedy
Mr. Deeds,Romance
The Patriot,Action
The Patriot,Drama
The Patriot,History
A Few Days with Me,Comedy
A Few Days with Me,Drama
A Few Days with Me,Romance
Training Day,Crime
Training Day,Drama
Training Day,Thriller
The Lake House,Drama
The Lake House,Fantasy
The Lake House,Romance
The Whole Nine Yards,Comedy
The Whole Nine Yards,Crime
Halloween,Horror
Romeo Must Die,Action
Romeo Must Die,Crime
Romeo Must Die,Thriller
The Last Castle,Action
The Last Castle,Drama
The Last Castle,Thriller
Requiem,Action
Requiem,Crime
Requiem,Horror
American Pie,Comedy
Rush Hour,Action
Rush Hour,Comedy
Rush Hour,Crime
Sophie Scholl: The Final Days,Biography
Sophie Scholl: The Final Days,Crime
Sophie Scholl: The Final Days,Drama
The Perfect Storm,Action
The Perfect Storm,Adventure
The Perfect Storm,Drama
The Storm Riders,Action
The Storm Riders,Adventure
The Storm Riders,Fantasy
Kiss of the Dragon,Action
Kiss of the Dragon,Crime
Kiss of the Dragon,Thriller
The Glass House,Crime
The Glass House,Drama
The Glass House,Mystery
Heartbreak Hotel,Comedy
Heartbreak Hotel,Drama
Heartbreak Hotel,Music
Unfaithful,Drama
Unfaithful,Romance
Unfaithful,Thriller
Eastern Promises,Crime
Eastern Promises,Drama
Eastern Promises,Thriller
Lola,Drama
Lola,Romance
The Golden Compass,Adventure
The Golden Compass,Family
The Golden Compass,Fantasy
The General's Daughter,Crime
The General's Daughter,Drama
The General's Daughter,Mystery
Mr. Magorium's Wonder Emporium,Comedy
Mr. Magorium's Wonder Emporium,Family
Mr. Magorium's Wonder Emporium,Fantasy
Closer,Drama
Closer,Romance
Cold Mountain,Adventure
Cold Mountain,Drama
Cold Mountain,Romance
Clerks,Comedy
Space Jam,Adventure
Space Jam,Animation
Space Jam,Comedy
The Wounded Man,Crime
The Wounded Man,Drama
The Wounded Man,Romance
Beowulf,Action
Beowulf,Adventure
Beowulf,Animation
In the Name of the King: A Dungeon Siege Tale,Action
In the Name of the King: A Dungeon Siege Tale,Adventure
In the Name of the King: A Dungeon Siege Tale,Fantasy
Executive Decision,Action
Executive Decision,Adventure
Executive Decision,Thriller
Field of Dreams,Drama
Field of Dreams,Family
Field of Dreams,Fantasy
Taxi,Action
Taxi,Comedy
Taxi,Crime
Taxi 2,Action
Taxi 2,Comedy
Taxi 2,Crime
Taxi 3,Action
Taxi 3,Comedy
Taxi 3,Crime
Taxi 4,Action
Taxi 4,Comedy
Taxi 4,Crime
The Boat on the Grass,Drama
Asterix at the Olympic Games,Adventure
Asterix at the Olympic Games,Comedy
Asterix at the Olympic Games,Family
Joint Security Area,Action
Joint Security Area,Drama
Joint Security Area,Thriller
The Nativity Story,Adventure
The Nativity Story,Drama
The Nativity Story,Family
Tie Me Up! Tie Me Down!,Comedy
Tie Me Up! Tie Me Down!,Crime
Tie Me Up! Tie Me Down!,Drama
The Bourne Identity,Action
The Bourne Identity,Mystery
The Bourne Identity,Thriller
The Bourne Supremacy,Action
The Bourne Supremacy,Mystery
The Bourne Supremacy,Thriller
The Bourne Ultimatum,Action
The Bourne Ultimatum,Mystery
The Bourne Ultimatum,Thriller
Nobody Knows,Drama
Spanglish,Comedy
Spanglish,Drama
Spanglish,Romance
The Aviator,Biography
The Aviator,Drama
The Specialist,Action
The Specialist,Drama
The Specialist,Thriller
Two Weeks Notice,Comedy
Two Weeks Notice,Romance
The Game,Drama
The Game,Mystery
The Game,Thriller
The Blair Witch Project,Horror
The Blair Witch Project,Mystery
Ringu,Horror
Ringu,Mystery
The Other Side of the Bed,Comedy
The Other Side of the Bed,Drama
The Other Side of the Bed,Musical
Indochine,Drama
Indochine,Romance
Indochine,War
Addams Family Values,Comedy
Addams Family Values,Fantasy
American Pie 2,Comedy
The Chronicles of Riddick,Action
The Chronicles of Riddick,Adventure
The Chronicles of Riddick,Sci-Fi
Rumor Has It...,Comedy
Rumor Has It...,Drama
Rumor Has It...,Romance
Identity,Mystery
Identity,Thriller
Hunting and Gathering,Drama
Hunting and Gathering,Romance
As Good as It Gets,Comedy
As Good as It Gets,Drama
As Good as It Gets,Romance
The Addams Family,Comedy
The Addams Family,Fantasy
License to Wed,Comedy
License to Wed,Romance
Hairspray,Comedy
Hairspray,Drama
Hairspray,Musical
One on Top of the Other,Horror
One on Top of the Other,Mystery
One on Top of the Other,Thriller
The Man Between,Crime
The Man Between,Drama
The Man Between,Film-Noir
1408,Fantasy
1408,Horror
1408,Mystery
Experiment in Evil,Drama
Experiment in Evil,Horror
Experiment in Evil,Sci-Fi
Ace Ventura: Pet Detective,Comedy
Frankenstein 90,Comedy
Frankenstein 90,Drama
Frankenstein 90,Horror
Alvin and the Chipmunks Meet Frankenstein,Animation
Alvin and the Chipmunks Meet Frankenstein,Comedy
Alvin and the Chipmunks Meet Frankenstein,Family
Gangs of New York,Crime
Gangs of New York,Drama
The Horror of Frankenstein,Comedy
The Horror of Frankenstein,Horror
The Horror of Frankenstein,Sci-Fi
Battle Royale,Action
Battle Royale,Adventure
Battle Royale,Drama
The Sensuous Assassin,Mystery
The Sensuous Assassin,Thriller
The Hero,Drama
The Hero,Sport
The Things of Life,Drama
The Things of Life,Romance
Cesar & Rosalie,Drama
Cesar & Rosalie,Romance
Max and the Junkmen,Crime
Max and the Junkmen,Drama
Max and the Junkmen,Romance
Mr. Brooks,Crime
Mr. Brooks,Drama
Mr. Brooks,Mystery
That Most Important Thing: Love,Drama
That Most Important Thing: Love,Romance
88 Minutes,Crime
